ing,ing_func,cir,ewg
Sodium Hydroxide,"['Buffering Agent', 'Denaturant', 'Ph Adjuster']",B,3.0
Benzalkonium Chloride,"['Antimicrobial Agent', 'Antistatic Agent', 'Cosmetic Biocide', 'Deodorant', 'Preservative', 'Surfactant -Suspending Agent']",B,4.0
Ethylparaben,"['Fragrance', 'Preservative']",A,4.0
PEG-25 Soy Sterol,"['Emulsifying', 'Surfactant']",nan,4.0
Mineral Oil,"['Antistatic Agent', 'Emollient', 'Fragrance', 'Hair Conditioning', 'Perfuming', 'Skin Conditioning', 'Skin Protecting', 'Solvent']",nan,3.0
Ceteareth-6,"['Emulsifying', 'Surfactant']",B,7.0
C12-15 Alkyl Benzoate,"['Antimicrobial', 'Emollient', 'Skin Conditioning']",A,1.0
Glyceryl Stearate,"['Emollient', 'Emulsifying']",A,1.0
Mangifera Indica (Mango) Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Prunus Amygdalus Dulcis (Sweet Almond) Oil,"['Fragrance', 'Skin-Conditioning Agent - Occlusive']",A,1.0
Ginkgo Biloba Leaf Extract,['Skin Conditioning'],nan,1.0
Isopropyl Palmitate,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emollient', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Solvent']",B,1.0
Propylene Glycol,"['Fragrance', 'Humectant', 'Skin Conditioning', 'Skin-Conditioningagent - Miscellaneous', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",B,3.0
Glycine Soja (Soybean) Oil,"['Antioxidant', 'Emollient', 'Fragrance', 'Skin Conditioning']",A,1.0
Tri-C14-15 Alkyl Citrate,"['Emollient', 'Plasticizer', 'Skin Conditioning']",A,1.0
Tocopherol (Vitamin E),[''],nan,1.0
Mica,"['Cosmetic Colorant', 'Opacifying']",nan,2.0
Cyclohexasiloxane,"['Emollient', 'Hair Conditioning', 'Skin Conditioning', 'Solvent']",A,2.0
PEG-100 Stearate,['Surfactant'],A,3.0
