ing,ing_func,cir,ewg
Polyglyceryl-2 Caprate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Hydrogenated Coco-Glycerides,"['Emollient', 'Skin Conditioning']",A,1.0
Lanolin Alcohol,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Hair Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,3.0
Disodium 2-Sulfolaurate,"['Cleansing', 'Surfactant']",nan,1.0
Sodium Methyl 2-Sulfolaurate,"['Cleansing', 'Foaming', 'Surfactant']",nan,1.0
Acrylates/Palmeth-25 Acrylate Copolymer,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Cocamidopropyl PG-Dimonium Chloride Phosphate,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
Phenethyl Alcohol,"['Fragrance', 'Masking', 'Preservative']",B,1.0
Hydrated Silica,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Avena Sativa (Oat) Meal Extract,[''],B,1.0
PPG-2 Methyl Ether,"['Perfuming', 'Solvent']",A,2.0
"Diethylhexyl 2,6-Naphthalate","['Emollient', 'Skin Conditioning', 'Solvent', 'Uv Absorber']",nan,1.0
Ascorbyl Palmitate,"['Antioxidant', 'Masking']",A,1.0
Acrylates/Octylacrylamide Copolymer,"['Film Forming', 'Hair Fixing']",nan,1.0
Isobutane,['Propellant'],A,7.0
Avena Sativa (Oat) Kernel Oil,"['Skin Conditioning', 'Solvent']",A,1.0
Steareth-20,"['Emulsifying', 'Sufactant', 'Surfactant']",B,3.0
Ceramide 6 II,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Hydrogenated Palm/Palm Kernel Oil PEG-6 Esters,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Stabilising', 'Surfactant']",B,3.0
Malva Sylvestris (Mallow) Extract,[''],nan,1.0
Hedera Helix (Ivy) Extract,"['Anticaking Agent', 'Antimicrobial', 'Astringent', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Sambucus Nigra Flower Extract,"['Refreshing', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Zea Mays (Corn) Cob Meal,"['Abrasive', 'Binding', 'Bulking Agent']",A,1.0
Parietaria Officinalis Extract,"['Emollient', 'Soothing']",nan,1.0
Arnica Montana Flower Extract,"['Masking', 'Perfuming', 'Skin Conditioning']",nan,2.0
1-Methylhydantoin-2-Imide,['Skin Conditioning'],nan,1.0
Glyceryl Stearate Citrate,"['Emollient', 'Emulsifying', 'Skin Conditioning']",B,1.0
Dipentaerythrityl Hexacaprylate/Hexacaprate,"['Emulsifying', 'Skin Conditioning', 'Smoothing', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Ubiquinone,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Tridecyl Stearate,"['Emollient', 'Skin Conditioning']",B,1.0
Tridecyl Trimellitate,"['Emollient', 'Skin Conditioning']",B,1.0
Sodium Tallowate,"['Emulsifying', 'Foam Boosting', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Magnesium Chloride,['Viscosity Controlling'],nan,1.0
Potassium Carbomer,"['Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Dimethicone Copolyol,[''],A,3.0
Cimicifuga Dahurica Root Extract,['Antioxidant'],nan,1.0
Rosa Hybrid Flower Extract,"['Skin Conditioning', 'Tonic']",nan,1.0
Rheum Palmatum Root Extract,"['Astringent', 'Skin Conditioning', 'Tonic']",nan,1.0
Methyl Glucose Sesquistearate,"['Emollient', 'Emulsifying', 'Skin Conditioning']",A,1.0
Isostearyl Neopentanoate,"['Binding', 'Binding Agent', 'Emollient', 'Skin Conditioning']",B,1.0
Glyceryl Polymethacrylate,"['Film Forming', 'Viscosity Controlling']",nan,1.0
Dimethoxytolyl Propylresorcinol,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Morus Nigra Root Extract,['Skin Conditioning'],nan,1.0
Acetyl Hexapeptide-8,"['Humectant', 'Skin Conditioning']",nan,1.0
Whey Protein,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Isododecane,"['Emollient', 'Fragrance', 'Perfuming', 'Solvent']",B,1.0
Palmitoyl Hexapeptide-14,['Skin Conditioning'],nan,1.0
Hydrolyzed Rice Protein,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Siegesbeckia Orientalis (St. Paulswort) Extract,[''],nan,1.0
Citrus Grandis (Grapefruit) Peel Extract,['Skin Conditioning'],B,3.0
Glycereth-7,"['Humectant', 'Solvent', 'Viscosity Controlling']",nan,1.0
Dicaprylyl Ether,"['Emollient', 'Skin Conditioning', 'Solvent']",nan,1.0
Methicone,"['Antistatic Agent', 'Emollient', 'Skin Conditioning', 'Surface Modifier']",A,1.0
Adansonia Digitata Seed Oil,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Echium Plantagineum Seed Oil,"['Skin Conditioning', 'Solvent']",nan,1.0
Malpighia Emarginata (Acerola) Fruit Extract,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Terminalia Ferdinandiana Fruit Extract,"['Antioxidant', 'Bleaching']",nan,1.0
Cardiospermum Halicacabum Flower/Leaf/Vine Extract,['Skin Conditioning'],nan,1.0
Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Pinus Sylvestris Leaf Oil,['Masking'],nan,2.0
Citrus Limon (Lemon) Peel Oil,[''],B,3.0
PPG-9,['Skin Conditioning'],B,1.0
Ammonium Chloride,"['Buffering Agent', 'Fragrance', 'Masking', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,2.0
Orchid Extract,[''],nan,1.0
Camellia Japonica Leaf Extract,['Skin Conditioning'],nan,1.0
Dipotassium Phosphate,"['Anticorrosive', 'Buffering Agent', 'Ph Adjuster']",B,1.0
Lauryl Methyl Gluceth-10 Hydroxypropyldimonium Chloride,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
Coco-Caprylate/Caprate,"['Emollient', 'Skin Conditioning']",B,1.0
Potassium Phosphate,"['Buffering Agent', 'Ph Adjuster']",B,1.0
Sodium Dodecylbenzenesulfonate,"['Cleansing', 'Emulsifying', 'Surfactant']",B,1.0
Sodium Isostearoyl Lactylate,"['Emulsifying', 'Surfactant']",nan,1.0
Pentasodium Pentetate,['Chelating Agent'],A,1.0
Raspberry Ketone,"['Fragrance', 'Masking', 'Perfuming', 'Skin Conditioning']",nan,1.0
Lactobionic Acid,"['Buffering Agent', 'Ph Adjuster']",nan,1.0
Rosmarinus Officinalis (Rosemary) Flower Extract,"['Antioxidant', 'Deodorant', 'Skin Conditioning']",B,1.0
Thymus Vulgaris (Thyme) Extract,[''],nan,1.0
Cetraria Islandica Extract,"['Cleansing', 'Emollient', 'Smoothing', 'Soothing']",nan,1.0
Capryloyl Salicylic Acid,['Skin Conditioning'],B,1.0
Fructan,"['Humectant', 'Skin Conditioning']",nan,1.0
Perilla Ocymoides Leaf Extract,['Tonic'],nan,1.0
Centella Asiatica Leaf Extract,['Skin Conditioning'],B,1.0
Acorus Gramineus Root/Stem Extract,"['Hair Conditioning', 'Hair Waving Or Straightening', 'Skin Conditioning']",nan,1.0
Opuntia Ficus-Indica Fruit Extract,['Skin Conditioning'],nan,1.0
Opuntia Ficus-Indica Stem Extract,['Skin Conditioning'],nan,1.0
Salvia Officinalis (Sage) Leaf Extract,['Skin Conditioning'],nan,1.0
Perilla Frutescens Leaf Extract,"['Masking', 'Skin Conditioning']",nan,1.0
Citrus Grandis (Grapefruit) Seed Extract,"['Astringent', 'Preservative', 'Skin Conditioning', 'Tonic']",nan,3.0
Chrysanthemum Morifolium Flower Extract,['Skin Conditioning'],nan,1.0
Melissa Officinalis Extract,[''],nan,1.0
Angelica Dahurica Root Extract,['Skin Conditioning'],nan,1.0
Hippophae Rhamnoides Extract,"['Masking', 'Skin Conditioning']",nan,1.0
Vitex Trifolia Fruit Extract,['Skin Conditioning'],nan,1.0
Urtica Dioica (Nettle) Extract,"['Antidandruff Agent', 'Astringent', 'Hair Conditioning', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Persea Gratissima (Avocado) Fruit Extract,"['Emollient', 'Moisturising', 'Skin Conditioning', 'Smoothing', 'Soothing']",nan,1.0
Origanum Vulgare Leaf Extract,['Skin Conditioning'],nan,1.0
Chamomilla Recutita (Matricaria) Leaf Extract,"['Fragrance', 'Skin Conditioning']",nan,1.0
Cnidium Officinale Root Extract,['Skin Conditioning'],nan,1.0
Eclipta Prostrata Extract,['Skin Conditioning'],nan,1.0
Juglans Regia (Walnut) Seed Extract,[''],nan,1.0
Simmondsia Chinensis (Jojoba) Seed Extract,"['Abrasive', 'Emollient', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Lonicera Japonica (Honeysuckle) Flower Extract,[''],nan,1.0
Prunella Vulgaris Leaf Extract,['Skin Conditioning'],nan,1.0
Oenothera Biennis (Evening Primrose) Root Extract,[''],nan,1.0
Taraxacum Officinale (Dandelion) Extract,['Skin Conditioning'],nan,1.0
Houttuynia Cordata Extract,['Skin Conditioning'],nan,1.0
Pentaerythrityl Distearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Artemisia Vulgaris (Mugwort),[''],nan,1.0
Citrus Reticulata (Tangerine) Peel Extract,[''],B,2.0
Disodium Adenosine Triphosphate,['Skin Conditioning'],nan,1.0
Phellodendron Amurense Bark Extract,"['Skin Conditioning', 'Tonic']",nan,1.0
Panax Ginseng Extract,[''],nan,1.0
Benzophenone-5,"['Uv Absorber', 'Uv Filter']",A,4.0
Sodium Metabisulfite,"['Antioxidant', 'Preservative', 'Reducing']",A,4.0
Saccharide Hydrolysate,['Humectant'],nan,1.0
Isodeceth-6,"['Emulsifying', 'Surfactant']",B,1.0
Salvia Hispanica Seed Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Polyacrylate Crosspolymer-6,"['Emulsion Stabilising', 'Viscosity Controlling']",nan,1.0
Pullulan,"['Binding', 'Binding Agent', 'Film Forming']",A,1.0
t-Butyl Alcohol,"['Denaturant', 'Fragrance', 'Perfuming', 'Solvent']",A,2.0
Alumina,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,2.0
C12-16 Alcohols,"['Antistatic Agent', 'Emollient', 'Emulsion Stabilising', 'Hair Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Mannan,['Film Forming'],A,1.0
Stearyl Behenate,"['Emollient', 'Skin Conditioning']",B,1.0
Phyllostachis Bambusoides Juice,['Skin Conditioning'],nan,1.0
PCA Dimethicone,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Hydroxypropyl Starch Phosphate,"['Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Poloxamer 407,"['Emulsifying', 'Surfactant']",A,2.0
Phytantriol,"['Anticaking Agent', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",A,3.0
Solanum Tuberosum (Potato) Starch,"['Absorbent', 'Binding Agent', 'Bulking Agent', 'Viscosity Increasing Agent']",A,1.0
Acacia Decurrens Extract,"['Cosmetic Astringent', 'Skin Conditioning', 'Tonic']",nan,1.0
Rosa Damascena Flower Water,"['Masking', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Magnesium Ascorbyl Phosphate,['Antioxidant'],A,1.0
Vetiveria Zizanoides Root Oil,"['Masking', 'Perfuming', 'Tonic']",nan,1.0
Citrus Aurantium amara (Bitter Orange) Flower Water,"['Fragrance', 'Skin Conditioning']",nan,1.0
Plumeria Alba Flower Extract,['Skin Conditioning'],nan,1.0
Boswellia Serrata Extract,['Skin Conditioning'],nan,1.0
Iris Germanica Root Extract,['Skin Conditioning'],nan,1.0
Magnolia Grandiflora Leaf Extract,['Skin Conditioning'],nan,1.0
Tocopheryl Linoleate/Oleate,"['Antioxidant', 'Skin Conditioning']",A,1.0
Juglans Regia (Walnut) Seed,[''],nan,1.0
Citrus Medica Limonum (Lemon) Oil,[''],nan,1.0
Rosa Centifolia (Cabbage Rose) Oil,[''],nan,1.0
Syzygium Jambos Leaf Extract,['Skin Conditioning'],nan,1.0
Equisetum Arvense Extract,"['Astringent', 'Emollient', 'Soothing', 'Tonic']",nan,1.0
PEG-12 Glyceryl Distearate,"['Emollient', 'Skin Conditioning']",nan,3.0
Sodium Lactate,"['Buffering Agent', 'Exfoliant', 'Humectant', 'Keratolytic']",B,3.0
Hydrastis Canadensis (Golden Seal) Extract,[''],nan,1.0
Rosmarinus Officinalis (Rosemary) Leaf,['Skin Conditioning'],B,1.0
Rosa Centifolia Flower Water,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Sodium Ascorbate,['Antioxidant'],A,1.0
Origanum Vulgare Leaf Oil,"['Masking', 'Refreshing']",nan,1.0
Vanilla Planifolia Fruit,"['Masking', 'Skin Protecting', 'Smoothing']",nan,1.0
Rosa Canina (Rosehip) Seed Oil,[''],nan,1.0
Taraxacum Officinale (Dandelion) Leaf Extract,[''],nan,1.0
Algin,"['Binding', 'Binding Agent', 'Fragrance', 'Masking', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Centipeda Cunninghamii Extract,['Skin Conditioning'],nan,1.0
Gardenia Florida Flower Extract,['Skin Conditioning'],nan,1.0
Secale Cereale (Rye) Seed Extract,"['Abrasive', 'Bulking Agent', 'Skin Conditioning']",nan,1.0
Malic Acid,"['Buffering Agent', 'Fragrance', 'Ph Adjuster']",B,4.0
Ulva Lactuca Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Enteromorpha Compressa Extract,['Skin Protecting'],nan,1.0
Chondrus Crispus (Carrageenan) Extract,"['Skin Conditioning', 'Viscosity Controlling']",nan,1.0
Glyceryl Distearate,"['Antistatic Agent', 'Emollient', 'Skin Conditioning']",B,1.0
imperata Cylindrica Root Extract,['Skin Conditioning'],nan,1.0
Pseudoalteromonas Ferment Extract,['Humectant'],nan,1.0
Cucumis Melo (Melon) Fruit Extract,[''],nan,1.0
Silk Amino Acids,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",A,1.0
Styrene/VP Copolymer,"['Film Forming', 'Opacifying']",A,1.0
Coix Lacryma-Jobi Ma-yuen Seed Extract,['Skin Conditioning'],nan,1.0
Sodium EDTA,[''],nan,1.0
Humulus Lupulus (Hops) Flower Extract,[''],nan,1.0
Pinus Sylvestris Cone Extract,"['Masking', 'Perfuming']",nan,2.0
Pistacia Lentiscus (Mastic) Gum,"['Adhesive', 'Film Forming', 'Fragrance', 'Perfuming']",nan,1.0
Boron Nitride,"['Absorbent', 'Opacifying', 'Skin Conditioning', 'Slip Modifier']",A,1.0
Rosa Moschata Seed Oil,"['Emollient', 'Skin Conditioning']",nan,1.0
Cetearyl Isononanoate,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",B,1.0
Oryza Sativa (Rice) Hull Powder,['Abrasive'],nan,1.0
Isopentyldiol,['Solvent'],nan,1.0
Calcium Gluconate,"['Humectant', 'Skin Conditioning']",A,1.0
Coconut Alkanes,"['Emollient', 'Solvent']",nan,1.0
Polyglyceryl-2 Isostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Sclerocarya Birrea (Marula) Oil,[''],nan,1.0
CI 77499,"['Colorant', 'Cosmetic Colorant']",nan,2.0
Ethoxydiglycol,"['Fragrance', 'Humectant', 'Perfuming', 'Solvent', 'Viscosity Decreasing Agent']",A,1.0
Hexanoyl Dipeptide-3 Norleucine Acetate,[''],nan,1.0
Ascorbic Acid (Vitamin C),"['Antioxidant', 'Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster', 'Skin Conditioning']",A,1.0
Propyl Gallate,"['Antioxidant', 'Fragrance', 'Perfuming']",B,3.0
Oxycoccus Palustris Seed Oil,"['Antioxidant', 'Emollient', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Commiphora Mukul Resin Extract,"['Proprietary', 'Skin Conditioning', 'Tonic']",nan,1.0
Phytosterols,['Skin Conditioning'],A,1.0
Decarboxy Carnosine HCl,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Mimosa Tenuiflora Bark Extract,"['Skin Protecting', 'Soothing']",nan,1.0
Triticum Vulgare (Wheat) Bran Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Cellulose,"['Absorbent', 'Bulking Agent', 'Opacifying', 'Slip Modifier', 'Viscosity Controlling']",A,1.0
Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract,[''],nan,1.0
Silk Powder,"['Antistatic Agent', 'Bulking Agent', 'Hair Conditioning', 'Skin Conditioning', 'Slip Modifier', 'Smoothing']",A,1.0
Agaricus Bisporus (Mushroom) Cap Extract,[''],nan,1.0
Lycium Barbarum Fruit Extract,"['Astringent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Olea Europaea (Olive) Fruit Extract,[''],nan,1.0
Tourmaline,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Phenyl Methicone,"['Emollient', 'Skin Conditioning']",nan,1.0
Phormidium Persicinum Extract,['Antioxidant'],nan,1.0
Propylene Glycol Dicaprylate,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Laminaria Digitata Extract,['Skin Protecting'],nan,1.0
Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer,['Emulsion Stabilising'],nan,2.0
Oleth-3,"['Emulsifying', 'Fragrance', 'Surfactant']",B,2.0
Oleth-5,"['Emulsifying', 'Fragrance', 'Surfactant']",B,3.0
Gold,['Cosmetic Colorant'],nan,4.0
Evernia Prunastri (Oakmoss) Extract,[''],nan,7.0
Artemisia Capillaris Flower Extract,['Skin Conditioning'],nan,1.0
Acer Saccharum (Sugar Maple) Extract,['Keratolytic'],nan,1.0
Sorbitan Isostearate,"['Emulsifying', 'Surfactant']",A,1.0
Betula Alba Bud Extract,['Skin Conditioning'],nan,1.0
Palmitoyl Tripeptide-5,['Skin Conditioning'],nan,1.0
Juglans Regia (Walnut) Leaf Extract,[''],nan,1.0
Achillea Millefolium Extract,"['Antidandruff Agent', 'Cleansing', 'Masking', 'Refreshing', 'Skin Conditioning', 'Soothing', 'Tonic']",B,3.0
Rosa Damascena Flower Extract,"['Masking', 'Tonic']",nan,1.0
Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,"['Abrasive', 'Bulking Agent']",A,1.0
Anthemis Nobilis Flower Oil,"['Masking', 'Perfuming', 'Skin Conditioning']",nan,1.0
Oryza Sativa (Rice) Bran,"['Abrasive', 'Bulking Agent']",A,2.0
Chlorophyllin-Copper Complex,"['Cosmetic Colorant', 'Deodorant']",nan,5.0
Beta-Carotene,['Skin Conditioning'],nan,2.0
Zea Mays (Corn) Oil,"['Antistatic Agent', 'Emollient', 'Emulsifying', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning', 'Skin-Conditioning Agent - Occlusive', 'Solvent', 'Surfactant']",A,1.0
Polyglyceryl-10 Isostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Thioctic Acid,['Antioxidant'],nan,2.0
Phragmites Communis Extract,['Skin Conditioning'],nan,1.0
Alpinia Officinarum Root Extract,['Skin Conditioning'],nan,1.0
Behenic Acid,"['Emulsifying', 'Opacifying']",nan,1.0
Arachidic Acid,"['Emulsifying', 'Opacifying']",nan,1.0
Polypropylsilsesquioxane,"['Binding Agent', 'Film Forming']",nan,1.0
Hydroxypropyl Bispalmitamide MEA,"['Emollient', 'Skin Conditioning']",nan,1.0
Sorbitan Laurate,"['Emulsifying', 'Surfactant']",A,1.0
Castor Isostearate Succinate,['Skin Conditioning'],nan,1.0
Tribehenin,"['Emollient', 'Skin Conditioning']",A,1.0
Palmitoyl Tetrapeptide-7,['Skin Conditioning'],A,1.0
PPG-12/SMDI Copolymer,"['Emollient', 'Film Forming', 'Hair Fixing', 'Skin Conditioning']",nan,1.0
PEG-14,"['Humectant', 'Solvent']",A,3.0
PEG-33,"['Binding Agent', 'Humectant', 'Solvent']",A,3.0
PEG-75 Shea Butter Glycerides,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Sufactant', 'Surfactant - Solubilizingagent']",B,3.0
PEG-8 Dimethicone,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
Glycol Stearate,"['Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Opacifying', 'Skin Conditioning', 'Surfactant']",A,1.0
Prunus Persica (Peach) Kernel Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Lanolin Wax,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emollient', 'Emulsifying', 'Film Forming', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Viscosity Increasingagent - Nonaqueous']",A,1.0
Butyl Stearate,"['Emollient', 'Fragrance', 'Masking', 'Skin Conditioning']",A,1.0
Ceresin,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emulsion Stabilising', 'Epilating Agent', 'Hair Conditioning', 'Opacifying', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Stearamide AMP,"['Foam Boosting', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Ethylhexyl Stearate,"['Emollient', 'Skin Conditioning']",B,1.0
Oleic Acid,"['Emollient', 'Emulsifying', 'Fragrance']",A,1.0
Isodecyl Neopentanoate,"['Emollient', 'Skin Conditioning']",B,1.0
Polyglyceryl-2 Sesquiisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polyglyceryl-3 Oleate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Hydroxylated Lanolin,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emollient', 'Emulsifying', 'Film Forming', 'Skin Conditioning']",A,1.0
Padina Pavonica Thallus Extract,['Skin Conditioning'],nan,1.0
Selaginella Tamariscina Extract,['Skin Conditioning'],nan,1.0
Glucose Oxidase,"['Hair Conditioning', 'Skin Conditioning', 'Stabilising']",nan,1.0
Disodium Distyrylbiphenyl Disulfonate,"['Hair Conditioning', 'Surface Modifier', 'Surfactant', 'Uv Absorber', 'Viscosity Controlling']",nan,1.0
Lactoperoxidase,"['Skin Conditioning', 'Stabilising']",nan,1.0
Linolenic Acid,"['Antistatic Agent', 'Emollient', 'Fragrance', 'Hair Conditioning', 'Perfuming', 'Skin Conditioning', 'Sufactant']",nan,1.0
Bixa Orellana Seed Extract,"['Masking', 'Skin Conditioning']",nan,1.0
Vaccinium Myrtillus Seed Oil,['Skin Conditioning'],A,1.0
Sea Salt,"['Abrasive', 'Bulking Agent', 'Humectant', 'Masking', 'Viscosity Controlling']",nan,1.0
Camelina Sativa Seed Oil,['Skin Conditioning'],A,1.0
Mauritia Flexuosa Fruit Oil,['Skin Conditioning'],nan,1.0
Theobroma Grandiflorum Seed Butter,['Skin Conditioning'],A,1.0
Humulus Lupulus (Hops) Extract,"['Antimicrobial', 'Astringent', 'Emollient', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Vaccinium Macrocarpon (Cranberry) Fruit Juice,['Skin Conditioning'],nan,1.0
Rosa Canina Fruit Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Malus Domestica Fruit Extract,['Antioxidant'],B,1.0
Vegetable Glycerin,[''],nan,1.0
Rosa Damascena (Rose),[''],nan,1.0
Rosa Damascena (Rose) Flower Distillate,[''],nan,1.0
Vanilla Tahitensis Fruit,['Fragrance'],nan,1.0
Punica Granatum (Pomegranate) Oil,[''],nan,1.0
Aspalathus Linearis (Rooibos),[''],nan,1.0
Glycoproteins,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Veronica Officinalis Extract,['Skin Conditioning'],nan,1.0
Melissa Officinalis Leaf Extract,['Skin Conditioning'],nan,1.0
Alchemilla Vulgaris Extract,"['Astringent', 'Skin Conditioning']",nan,1.0
Marrubium Vulgare Extract,"['Fragrance', 'Skin Conditioning', 'Soothing']",nan,1.0
Primula Veris Extract,['Skin Conditioning'],nan,1.0
Hyssopus Officinalis Extract,"['Fragrance', 'Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Montmorillonite,"['Abrasive', 'Absorbent', 'Bulking Agent', 'Emulsion Stabilising', 'Opacifying', 'Stabilising', 'Viscosity Controlling', 'Viscosityincreasing Agent - Aqueous']",A,1.0
PEG-3 Distearate,"['Emulsifying', 'Surfactant']",B,3.0
Methylchloroisothiazolinone,['Preservative'],B,6.0
Sodium Lauroamphoacetate,"['Foam Boosting', 'Foaming', 'Hair Conditioning', 'Sufactant']",nan,1.0
Sodium Trideceth Sulfate,"['Cleansing', 'Emulsifying', 'Foaming', 'Surfactant']",A,1.0
Carnosine,['Skin Conditioning'],nan,1.0
Sodium Myristoyl Sarcosinate,"['Antistatic Agent', 'Cleansing', 'Foaming', 'Hair Conditioning', 'Surfactant', 'Viscosity Controlling']",B,2.0
Laureth-10,"['Emulsifying', 'Surfactant']",B,3.0
Manganese Violet,"['Colorant', 'Cosmetic Colorant']",nan,1.0
Cetyl Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Spiraea Ulmaria Extract,"['Astringent', 'Skin Conditioning', 'Tonic']",nan,1.0
Sodium Lauroyl Methyl Isethionate,"['Cleansing', 'Surfactant']",B,1.0
Acrylates/Beheneth-25 Methacrylate Copolymer,['Viscosity Controlling'],nan,1.0
Oleanolic Acid,['Skin Conditioning'],nan,1.0
Hibiscus Abelmoschus Extract,['Masking'],nan,1.0
Bambusa Vulgaris Extract,['Skin Conditioning'],nan,1.0
Rubus Idaeus (Raspberry) Leaf Extract,[''],nan,1.0
Methyl Trimethicone,"['Hair Conditioning', 'Skin Conditioning', 'Solvent']",nan,1.0
Centaurium Erythraea Extract,['Skin Conditioning'],nan,1.0
Sodium Phytate,['Chelating Agent'],nan,1.0
Anogeissus Leiocarpus Bark Extract,['Skin Protecting'],nan,1.0
Pisum Sativum (Pea) Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Nylon-12,"['Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,1.0
Porphyra Yezoensis Extract,['Skin Conditioning'],nan,1.0
Saccharomyces Cerevisiae Extract,['Skin Conditioning'],nan,1.0
Rosa Roxburghii Fruit Extract,['Tonic'],nan,1.0
Salicornia Herbacea Extract,['Skin Conditioning'],nan,1.0
Polyglyceryl-3 Beeswax,"['Emulsifying', 'Surfactant']",B,1.0
C20-40 Pareth-10,"['Emulsifying', 'Surfactant']",B,1.0
Citrus Limon (Lemon) Peel Extract,[''],B,1.0
Magnesium Oxide,"['Absorbent', 'Buffering Agent', 'Opacifying', 'Ph Adjuster']",nan,1.0
Bixa Orellana Seed Oil,"['Emollient', 'Humectant', 'Skin Conditioning']",nan,1.0
Pelargonium Graveolens Oil,"['Masking', 'Perfuming']",nan,1.0
Sodium Bicarbonate,"['Abrasive', 'Buffering Agent', 'Deodorant', 'Phadjuster', 'Skin Protecting']",A,1.0
